username,movie_slug,rating
jay,song-to-song,1.5
jay,amy-schumer-the-leather-special,0.5
jay,beauty-and-the-beast-2017,2.0
jay,logan-2017,4.0
jay,the-lego-batman-movie,3.0
jay,rings-2017,0.5
jay,john-wick-chapter-2,3.5
jay,the-robbery,3.0
jay,78-52,3.5
jay,marjorie-prime,3.0
jay,get-out-2017,4.0
jay,call-me-by-your-name,4.0
jay,t2-trainspotting,2.5
jay,a-ghost-story-2017,4.0
jay,the-big-sick,3.5
jay,ingrid-goes-west,3.5
jay,the-bye-bye-man,0.5
jay,eloise-2016,1.0
jay,assassins-creed,1.5
jay,rogue-one-a-star-wars-story,2.5
jay,silence,3.0
jay,fantastic-beasts-and-where-to-find-them,2.5
jay,terrifier-2016,1.5
jay,moana-2016,3.0
jay,split-2016,2.0
jay,the-void-2016,2.5
jay,the-promise-2016-1,2.0
jay,lion,3.0
jay,free-fire,3.0
jay,the-bad-batch,2.5
jay,bridget-joness-baby,2.5
jay,nocturnal-animals,3.0
jay,moonlight-2016,4.5
jay,arrival-2016,5.0
jay,la-la-land,3.5
jay,suicide-squad-2016,0.5
jay,blair-witch,1.5
jay,ghostbusters-2016,1.5
jay,nerve-2016,1.5
jay,popstar-never-stop-never-stopping,4.0
jay,hell-or-high-water,3.0
jay,raw-2016,4.0
jay,the-conjuring-2,3.0
jay,the-nice-guys,4.0
jay,x-men-apocalypse,2.5
jay,captain-america-civil-war,3.0
jay,criminal-2016,2.5
jay,the-belko-experiment,2.0
jay,sausage-party,0.5
jay,batman-v-superman-dawn-of-justice,1.5
jay,10-cloverfield-lane,3.5
jay,zootopia,2.5
jay,deadpool,3.0
jay,cabin-fever-2016,1.0
jay,manchester-by-the-sea,4.0
jay,31-2016,1.5
jay,hunt-for-the-wilderpeople,3.5
jay,pride-and-prejudice-and-zombies,2.0
jay,dirty-grandpa,1.5
jay,friend-request,1.0
jay,the-revenant-2015,4.0
jay,star-wars-the-force-awakens,3.0
jay,eddie-the-eagle,3.5
jay,the-hateful-eight,4.0
jay,krampus,4.0
jay,the-big-short,2.5
jay,the-hunger-games-mockingjay-part-2,2.0
jay,martyrs-2015,0.5
jay,bone-tomahawk,3.5
jay,i-spit-on-your-grave-iii-vengeance-is-mine,1.5
jay,pan-2015,1.5
jay,the-dressmaker-2015,2.5
jay,the-lady-in-the-van,2.5
jay,baskin-2015,2.5
jay,the-martian,3.5
jay,the-visit-2015,1.5
jay,steve-jobs,3.5
jay,the-man-from-uncle,3.5
jay,straight-outta-compton,3.5
jay,mission-impossible-rogue-nation,3.5
jay,pixels-2015,1.0
jay,turbo-kid,3.5
jay,deathgasm,2.0
jay,ant-man,2.5
jay,magic-mike-xxl,4.0
jay,circle-2015,3.0
jay,kung-fury,2.0
jay,the-human-centipede-3-final-sequence,0.5
jay,sicario-2015,4.0
jay,louder-than-bombs,3.0
jay,inside-out-2015,3.0
jay,carol-2015,4.0
jay,green-room,4.0
jay,the-lobster,4.0
jay,mad-max-fury-road,5.0
jay,avengers-age-of-ultron,2.0
jay,trainwreck,0.5
jay,tangerine,3.5
jay,knock-knock-2015,1.0
jay,the-witch-2015,4.5
jay,ex-machina-2015,4.5
jay,paddington,3.5
jay,as-the-gods-will,3.5
jay,clown,2.5
jay,the-hunger-games-mockingjay-part-1,2.0
jay,interstellar,4.5
jay,big-hero-6,3.0
jay,gone-girl,4.0
jay,john-wick,3.5
jay,tusk-2014,1.5
jay,nightcrawler,4.0
jay,nymphomaniac,2.0
jay,birdman-or-the-unexpected-virtue-of-ignorance,5.0
jay,wrong-turn-6-last-resort,0.5
jay,the-inbetweeners-2,1.5
jay,sharknado-2-the-second-one,0.5
jay,guardians-of-the-galaxy,3.0
jay,lucy-2014,1.0
jay,unfriended,0.5
jay,the-purge-anarchy,2.5
jay,22-jump-street,3.0
jay,edge-of-tomorrow,2.5
jay,foxcatcher,3.0
jay,it-follows,4.0
jay,the-fault-in-our-stars,2.0
jay,x-men-days-of-future-past,3.5
jay,the-amazing-spider-man-2,2.0
jay,gods-not-dead,0.5
jay,divergent,1.5
jay,captain-america-the-winter-soldier,3.5
jay,chef,3.5
jay,13-sins,2.5
jay,dead-snow-2-red-vs-dead,2.5
jay,the-grand-budapest-hotel,4.5
jay,robocop-2014,1.0
jay,what-we-do-in-the-shadows,4.0
jay,boyhood,2.0
jay,the-babadook,3.5
jay,whiplash-2014,5.0
jay,nymphomaniac-volume-i,1.5
jay,the-wolf-of-wall-street,4.0
jay,the-hobbit-the-desolation-of-smaug,3.5
jay,the-hunger-games-catching-fire,3.5
jay,oldboy-2013,1.0
jay,thor-the-dark-world,2.0
jay,the-phone-call,3.5
jay,her,4.0
jay,r100,3.5
jay,machete-kills,1.5
jay,enemy,4.0
jay,the-green-inferno,2.0
jay,oculus,3.5
jay,wolf-creek-2,2.0
jay,prisoners,4.0
jay,under-the-skin-2013,4.0
jay,gravity-2013,3.0
jay,snowpiercer,3.5
jay,the-wolverine,2.5
jay,the-wind-rises,4.0
jay,pacific-rim,3.0
jay,the-worlds-end,3.5
jay,about-time,3.5
jay,world-war-z,2.0
jay,man-of-steel,2.0
jay,the-conjuring,2.5
jay,this-is-the-end,3.0
jay,the-purge,2.0
jay,after-earth,1.0
jay,inside-llewyn-davis,4.0
jay,the-bling-ring,3.5
jay,star-trek-into-darkness,2.0
jay,the-great-gatsby-2013,3.0
jay,iron-man-3,3.0
jay,oblivion-2013,2.0
jay,the-host-2013,1.5
jay,cheap-thrills,2.5
jay,evil-dead,4.0
jay,oz-the-great-and-powerful,2.0
jay,movie-43,0.5
jay,stoker,3.5
jay,mama-2013,1.5
jay,texas-chainsaw-3d,1.0
jay,zero-dark-thirty,3.0
jay,django-unchained,5.0
jay,the-hobbit-an-unexpected-journey,2.5
jay,the-twilight-saga-breaking-dawn-part-2,1.5
jay,skyfall,3.5
jay,wrong-turn-5-bloodlines,1.0
jay,paranormal-activity-4,0.5
jay,would-you-rather,2.0
jay,lincoln,3.0
jay,the-collection,2.5
jay,scary-or-die,0.5
jay,the-place-beyond-the-pines,3.5
jay,seven-psychopaths,2.0
jay,dredd,3.5
jay,spring-breakers,2.5
jay,frances-ha,4.0
jay,american-mary,3.5
jay,chained-2012,2.5
jay,the-dark-knight-rises,3.0
jay,magic-mike,2.5
jay,the-amazing-spider-man,2.5
jay,rock-of-ages,2.5
jay,the-avengers-2012,3.0
jay,21-jump-street,3.5
jay,the-hunger-games,3.0
jay,rec-genesis,2.0
jay,this-means-war,2.0
jay,man-on-a-ledge,2.0
jay,hostel-part-iii,0.5
jay,the-girl-with-the-dragon-tattoo-2011,4.0
jay,the-cabin-in-the-woods,3.0
jay,mission-impossible-ghost-protocol,3.5
jay,the-twilight-saga-breaking-dawn-part-1,1.0
jay,puss-in-boots,2.0
jay,in-time,2.0
jay,wrong-turn-4-bloody-beginnings,1.0
jay,the-thing-2011,2.5
jay,moneyball,3.5
jay,tinker-tailor-soldier-spy,2.0
jay,johnny-english-reborn,2.0
jay,youre-next,3.5
jay,the-raid-2011,4.0
jay,vile,1.5
jay,the-human-centipede-2-full-sequence,0.5
jay,the-help,2.5
jay,final-destination-5,2.5
jay,captain-america-the-first-avenger,2.5
jay,crazy-stupid-love,3.5
jay,x-men-first-class,3.0
jay,drive-2011,4.0
jay,the-skin-i-live-in,3.5
jay,we-need-to-talk-about-kevin,4.5
jay,hobo-with-a-shotgun,3.0
jay,thor,2.0
jay,scream-4,3.5
jay,hanna,3.0
jay,rio-2011,2.5
jay,bridesmaids,3.5
jay,the-divide,2.5
jay,limitless,3.0
jay,justin-bieber-never-say-never,1.0
jay,the-strange-thing-about-the-johnsons,3.0
jay,saw-3d,1.5
jay,paranormal-activity-2,2.0
jay,jackass-3d,2.5
jay,the-social-network,5.0
jay,insidious,3.0
jay,easy-a,3.0
jay,127-hours,3.0
jay,hatchet-ii,2.0
jay,cats-dogs-the-revenge-of-kitty-galore,0.5
jay,scott-pilgrim-vs-the-world,4.0
jay,2001-maniacs-field-of-screams,0.5
jay,inception,4.0
jay,the-last-airbender,0.5
jay,the-karate-kid-2010,2.0
jay,despicable-me,2.5
jay,sex-and-the-city-2,1.0
jay,prince-of-persia-the-sands-of-time,0.5
jay,iron-man-2,2.5
jay,alice-in-wonderland-2010,1.5
jay,birdemic-shock-and-terror,0.5
jay,the-crazies-2010,1.5
