username,movie_slug,rating
davidlsims,hit-the-road-2021,3.5
davidlsims,murina,4.0
davidlsims,benedetta,4.0
davidlsims,after-yang,4.5
davidlsims,the-worst-person-in-the-world,5.0
davidlsims,the-souvenir-part-ii,4.5
davidlsims,stillwater-2021,4.0
davidlsims,aheds-knee,2.5
davidlsims,space-jam-a-new-legacy,1.5
davidlsims,annette,4.0
davidlsims,escape-room-tournament-of-champions,3.0
davidlsims,the-tomorrow-war,3.0
davidlsims,black-widow-2021,2.0
davidlsims,no-sudden-move,3.5
davidlsims,luca-2021,3.0
davidlsims,the-novice,3.5
davidlsims,infinite-2021,1.5
davidlsims,in-the-heights,3.5
davidlsims,the-conjuring-the-devil-made-me-do-it,2.0
davidlsims,f9,3.0
davidlsims,cruella,1.5
davidlsims,spiral-from-the-book-of-saw,1.5
davidlsims,those-who-wish-me-dead,3.0
davidlsims,tom-clancys-without-remorse,2.0
davidlsims,wrath-of-man,3.5
davidlsims,the-mitchells-vs-the-machines,3.5
davidlsims,mortal-kombat-2021,3.0
davidlsims,godzilla-vs-kong,2.0
davidlsims,nate-bargatze-the-greatest-average-american,3.5
davidlsims,zack-snyders-justice-league,4.0
davidlsims,wheel-of-fortune-and-fantasy,4.0
davidlsims,raya-and-the-last-dragon,3.0
davidlsims,the-girl-and-the-spider,3.0
davidlsims,the-scary-of-sixty-first,2.5
davidlsims,language-lessons,2.5
davidlsims,petite-maman,4.0
davidlsims,barb-star-go-to-vista-del-mar,3.5
davidlsims,to-all-the-boys-always-and-forever,1.0
davidlsims,judas-and-the-black-messiah,3.5
davidlsims,were-all-going-to-the-worlds-fair,4.5
davidlsims,users-2021,2.5
davidlsims,together-together,2.5
davidlsims,pleasure-2021,3.0
davidlsims,a-glitch-in-the-matrix-2021,3.0
davidlsims,el-planeta,3.0
davidlsims,mass-2021,3.5
davidlsims,superior-2021,2.5
davidlsims,the-sparks-brothers,2.5
davidlsims,passing-2021,3.5
davidlsims,wild-indian,3.5
davidlsims,malcolm-marie,1.0
davidlsims,the-pink-cloud,3.0
davidlsims,in-the-earth,2.5
davidlsims,on-the-count-of-three,2.0
davidlsims,i-was-a-simple-man,2.5
davidlsims,cryptozoo,3.0
davidlsims,coda-2021,3.5
davidlsims,flee-2021,3.5
davidlsims,summer-of-soul-or-when-the-revolution-could-not-be-televised,3.0
davidlsims,censor-2021,2.5
davidlsims,one-for-the-road-2022,2.5
davidlsims,the-little-things-2021,3.0
davidlsims,land-2021,1.5
davidlsims,the-white-tiger,3.0
davidlsims,locked-down-2021,1.0
davidlsims,news-of-the-world,3.5
davidlsims,wonder-woman-1984,3.5
davidlsims,education-2020,3.5
davidlsims,the-midnight-sky,2.0
davidlsims,let-them-all-talk,4.0
davidlsims,alex-wheatle,3.5
davidlsims,lovers-rock-2020,5.0
davidlsims,ma-raineys-black-bottom,3.5
davidlsims,happiest-season,2.5
davidlsims,mank,4.0
davidlsims,hillbilly-elegy,1.0
davidlsims,borat-subsequent-moviefilm,3.0
davidlsims,the-empty-man,4.5
davidlsims,roald-dahls-the-witches,1.5
davidlsims,earwig-and-the-witch,2.0
davidlsims,soul-2020,3.0
davidlsims,world-of-tomorrow-episode-three-the-absent-destinations-of-david-prime,4.5
davidlsims,the-bee-gees-how-can-you-mend-a-broken-heart,4.0
davidlsims,freaky,3.0
davidlsims,hubie-halloween,3.0
davidlsims,red-white-and-blue-2020,4.0
davidlsims,mangrove-2020,3.5
davidlsims,the-trial-of-the-chicago-7,2.5
davidlsims,on-the-rocks-2020,3.0
davidlsims,mlk-fbi,3.0
davidlsims,joe-bell,2.0
davidlsims,concrete-cowboy,2.5
davidlsims,another-round,4.0
davidlsims,wolfwalkers,4.0
davidlsims,nomadland,3.5
davidlsims,ammonite,2.0
davidlsims,76-days,3.5
davidlsims,david-byrnes-american-utopia,3.5
davidlsims,one-night-in-miami,2.5
davidlsims,night-of-the-kings,3.5
davidlsims,the-broken-hearts-gallery,2.5
davidlsims,antebellum,1.0
davidlsims,im-thinking-of-ending-things,5.0
davidlsims,bill-ted-face-the-music,3.0
davidlsims,tenet,5.0
davidlsims,class-action-park,2.5
davidlsims,shithouse,3.0
davidlsims,uncle-frank-2020,1.5
davidlsims,black-is-king,3.0
davidlsims,host-2020,3.0
davidlsims,an-american-pickle,3.0
davidlsims,unhinged-2020,2.0
davidlsims,the-old-guard-2020,3.5
davidlsims,greyhound,3.0
davidlsims,hamilton-2020,3.0
davidlsims,eurovision-song-contest-the-story-of-fire-saga,4.0
davidlsims,irresistible-2020,1.5
davidlsims,da-5-bloods,4.0
davidlsims,the-king-of-staten-island,2.5
davidlsims,the-surrogate-2020,2.5
davidlsims,artemis-fowl,0.5
davidlsims,extraction-2020,2.0
davidlsims,the-history-of-the-seattle-mariners,5.0
davidlsims,shiva-baby-2020,3.0
davidlsims,trolls-world-tour,2.5
davidlsims,the-hunt-2020,2.0
davidlsims,mulan-2020,2.0
davidlsims,a-quiet-place-part-ii,2.5
davidlsims,spenser-confidential,1.5
davidlsims,bloodshot,3.0
davidlsims,the-trip-to-greece,3.5
davidlsims,the-way-back-2020,3.5
davidlsims,the-invisible-man-2020,3.0
davidlsims,onward-2020,3.5
davidlsims,emma-2020,3.5
davidlsims,to-all-the-boys-ps-i-still-love-you,2.0
davidlsims,gretel-hansel,2.5
davidlsims,happy-happy-joy-joy-the-ren-stimpy-story,1.0
davidlsims,the-father-2020,3.5
davidlsims,the-last-thing-he-wanted,1.5
davidlsims,horse-girl-2020,2.5
davidlsims,nine-days,1.0
davidlsims,lance,2.5
davidlsims,luxor-2020,2.5
davidlsims,spaceship-earth-2020,2.5
davidlsims,wendy-2020,1.5
davidlsims,downhill-2020,2.0
davidlsims,the-nest-2020,4.5
davidlsims,minari,4.0
davidlsims,palm-springs-2020,4.0
davidlsims,the-forty-year-old-version,3.0
davidlsims,possessor,4.0
davidlsims,relic,3.5
davidlsims,sonic-the-hedgehog,2.5
davidlsims,birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,3.0
davidlsims,promising-young-woman,2.0
davidlsims,kajillionaire,3.5
davidlsims,shirley-2020,3.5
davidlsims,be-water,3.0
davidlsims,the-nowhere-inn,3.5
davidlsims,boys-state,3.0
davidlsims,bloody-nose-empty-pockets,3.0
davidlsims,worth-2020,3.0
davidlsims,zola,3.0
davidlsims,black-bear,2.0
davidlsims,scare-me,3.0
davidlsims,never-rarely-sometimes-always,4.0
davidlsims,bad-hair-2020,2.5
davidlsims,amulet,3.0
davidlsims,miss-americana,3.0
davidlsims,the-fight-2020,3.0
davidlsims,time-2020,4.0
davidlsims,dick-johnson-is-dead,3.5
davidlsims,bad-boys-for-life,3.0
davidlsims,underwater-2020,3.0
davidlsims,dolittle,1.0
davidlsims,john-mulaney-the-sack-lunch-bunch,5.0
davidlsims,star-wars-the-rise-of-skywalker,1.5
davidlsims,cats-2019,2.0
davidlsims,bombshell-2019,2.0
davidlsims,black-christmas-2019,2.0
davidlsims,little-women-2019,4.0
davidlsims,jumanji-the-next-level,2.0
davidlsims,1917,3.0
davidlsims,the-gentlemen,1.5
davidlsims,richard-jewell,4.0
davidlsims,queen-slim,2.0
davidlsims,dark-waters-2019,4.5
davidlsims,frozen-2,2.0
davidlsims,last-christmas-2019,3.0
davidlsims,21-bridges,3.0
davidlsims,terminator-dark-fate,3.0
davidlsims,doctor-sleep,4.0
davidlsims,gemini-man-2019,3.0
davidlsims,maleficent-mistress-of-evil,2.0
davidlsims,the-irishman-2019,4.5
davidlsims,lucy-in-the-sky,1.5
davidlsims,harriet,2.5
davidlsims,saint-maud,3.5
davidlsims,bad-education-2019,4.0
davidlsims,the-goldfinch,1.5
davidlsims,jojo-rabbit,2.0
davidlsims,dolemite-is-my-name,3.0
davidlsims,a-beautiful-day-in-the-neighborhood,4.0
davidlsims,knives-out-2019,4.0
davidlsims,sound-of-metal,3.5
davidlsims,just-mercy,2.0
davidlsims,hustlers-2019,4.0
davidlsims,the-personal-history-of-david-copperfield,3.5
davidlsims,martin-eden-2019,4.0
davidlsims,the-king-2019,2.0
davidlsims,the-laundromat-2019,2.5
davidlsims,ema,3.5
davidlsims,joker-2019,3.0
davidlsims,the-two-popes,3.5
davidlsims,first-cow,5.0
davidlsims,the-assistant-2019,4.0
davidlsims,motherless-brooklyn,2.0
davidlsims,uncut-gems,5.0
davidlsims,ford-v-ferrari,4.0
davidlsims,the-aeronauts-2019,2.0
davidlsims,waves-2019,2.0
davidlsims,judy-2019,2.0
davidlsims,ad-astra-2019,4.5
davidlsims,marriage-story-2019,4.0
davidlsims,the-truth-2019,3.0
davidlsims,it-chapter-two,2.0
davidlsims,whered-you-go-bernadette,3.5
davidlsims,the-kitchen-2019,1.0
davidlsims,test-pattern,3.0
davidlsims,ready-or-not-2019,3.0
davidlsims,la-llorona-2019,3.0
davidlsims,fast-furious-presents-hobbs-shaw,1.5
davidlsims,crawl-2019,4.0
davidlsims,the-lion-king-2019,1.0
davidlsims,spider-man-far-from-home,3.0
davidlsims,weathering-with-you,4.0
davidlsims,midsommar,4.5
davidlsims,toy-story-4,3.5
davidlsims,men-in-black-international,1.0
davidlsims,black-mirror-smithereens,1.0
davidlsims,black-mirror-rachel-jack-and-ashley-too,3.5
davidlsims,black-mirror-striking-vipers,3.5
davidlsims,dark-phoenix,1.0
davidlsims,deadwood-the-movie,5.0
davidlsims,godzilla-king-of-the-monsters-2019,1.5
davidlsims,murder-mystery,2.0
davidlsims,parasite-2019,5.0
davidlsims,once-upon-a-time-in-hollywood,5.0
davidlsims,frankie-2019,3.0
davidlsims,the-lighthouse-2019,4.0
davidlsims,a-hidden-life-2019,4.5
davidlsims,portrait-of-a-lady-on-fire,5.0
davidlsims,the-climb-2019,3.0
davidlsims,i-lost-my-body,3.0
davidlsims,beanpole,4.5
davidlsims,rocketman-2019,3.0
davidlsims,ma-2019,2.0
davidlsims,bacurau,4.5
davidlsims,the-dead-dont-die-2019,3.5
davidlsims,john-wick-chapter-3-parabellum,4.0
davidlsims,aladdin-2019,2.0
davidlsims,yesterday-2019,2.5
davidlsims,pokemon-detective-pikachu,3.0
davidlsims,tolkien-2019,1.5
davidlsims,the-bob-emergency,4.0
davidlsims,plus-one-2019,4.0
davidlsims,avengers-endgame,4.0
davidlsims,someone-great,2.0
davidlsims,hellboy-2019,1.0
davidlsims,missing-link-2019,2.5
davidlsims,nate-bargatze-the-tennessee-kid,3.5
davidlsims,shazam,4.0
davidlsims,pet-sematary-2019,1.5
davidlsims,captive-state,3.0
davidlsims,pain-and-glory,4.5
davidlsims,stuber,2.0
davidlsims,saint-frances,3.5
davidlsims,good-boys-2019,3.0
davidlsims,dumbo-2019,3.0
davidlsims,the-art-of-self-defense-2019,3.5
davidlsims,booksmart,3.0
davidlsims,mickey-and-the-bear,2.5
davidlsims,long-shot-2019,2.0
davidlsims,the-beach-bum,3.5
davidlsims,us-2019,4.5
davidlsims,captain-marvel,2.0
davidlsims,triple-frontier,3.5
davidlsims,leaving-neverland,2.5
davidlsims,the-aftermath-2019,1.5
davidlsims,the-search-for-the-saddest-punt-in-the-world-2019,3.5
davidlsims,collective,3.0
davidlsims,synonyms,4.0
davidlsims,happy-death-day-2u,3.0
davidlsims,driveways,3.0
davidlsims,what-men-want,1.0
davidlsims,cold-pursuit,3.0
davidlsims,the-wandering-earth,2.0
davidlsims,the-lego-movie-2-the-second-part,2.0
davidlsims,alita-battle-angel,4.0
davidlsims,honeyland-2019,3.0
davidlsims,light-from-light,2.5
davidlsims,fighting-with-my-family,2.0
davidlsims,brittany-runs-a-marathon,2.0
davidlsims,blinded-by-the-light-2019,3.0
davidlsims,clemency,3.0
davidlsims,luce,1.5
davidlsims,knock-down-the-house,2.5
davidlsims,velvet-buzzsaw,2.5
